"","x"
"1","0.54"
"2","4.54"
"3","5.54"
"4","6.54"
"5","7.54"
"6","9.54"
"7","10.54"
"8","11.54"
"9","12.54"
"10","13.54"
"11","14.54"
"12","15.54"
"13","16.56"
"14","17.44"
"15","18.25"
"16","19.25"
"17","20.54"
"18","21.54"
"19","22.54"
"20","23.54"
"21","24.54"
"22","25.54"
"23","26.31"
"24","27.01"
"25","27.03"
"26","27.04"
"27","27.06"
"28","27.07"
"29","27.12"
"30","27.16"
"31","27.17"
"32","27.18"
"33","27.27"
"34","27.28"
"35","27.29"
"36","27.31"
"37","27.53"
"38","27.56"
"39","28.03"
"40","28.04"
"41","28.05"
"42","28.06"
"43","28.07"
"44","28.12"
"45","28.14"
"46","28.16"
"47","28.17"
"48","28.22"
"49","28.23"
"50","28.25"
"51","28.29"
"52","28.35"
"53","28.37"
"54","28.38"
"55","28.41"
"56","28.44"
"57","28.53"
"58","28.58"
"59","28.59"
"60","29.01"
"61","29.04"
"62","29.05"
"63","29.06"
"64","29.07"
"65","29.14"
"66","29.15"
"67","29.18"
"68","29.28"
"69","29.31"
"70","30"
"71","30.01"
"72","30.08"
"73","30.17"
"74","30.32"
"75","31"
"76","31.01"
"77","31.08"
"78","31.13"
"79","32"
"80","32.01"
"81","32.12"
"82","32.39"
"83","33.01"
"84","33.08"
"85","33.34"
"86","33.36"
"87","34.01"
"88","34.03"
"89","34.07"
"90","34.12"
"91","34.13"
"92","34.24"
"93","34.26"
"94","34.32"
"95","34.37"
"96","34.42"
"97","34.45"
"98","34.52"
"99","34.56"
"100","35"
"101","35.01"
"102","35.03"
"103","35.04"
"104","35.06"
"105","35.07"
"106","35.08"
"107","35.14"
"108","35.15"
"109","35.16"
"110","35.18"
"111","35.19"
"112","35.21"
"113","35.26"
"114","35.27"
"115","35.29"
"116","35.32"
"117","35.38"
"118","35.41"
"119","35.43"
"120","35.44"
"121","35.45"
"122","35.46"
"123","35.47"
"124","35.51"
"125","35.52"
"126","35.53"
"127","35.56"
"128","35.57"
"129","36"
"130","36.03"
"131","36.05"
"132","36.06"
"133","36.12"
"134","36.18"
"135","36.21"
"136","36.24"
"137","36.27"
"138","36.41"
"139","37.01"
"140","37.03"
"141","37.05"
"142","37.14"
"143","37.16"
"144","37.19"
"145","37.24"
"146","37.32"
"147","37.35"
"148","37.38"
"149","37.59"
"150","38.01"
"151","38.03"
"152","38.06"
"153","38.13"
"154","38.15"
"155","38.16"
"156","38.22"
"157","38.26"
"158","38.33"
"159","38.39"
"160","38.44"
"161","38.45"
"162","38.47"
"163","38.48"
"164","38.51"
"165","38.52"
"166","38.57"
"167","38.59"
"168","39.15"
"169","39.18"
"170","39.21"
"171","39.28"
"172","39.42"
"173","39.43"
"174","39.54"
"175","40"
"176","40.03"
"177","40.04"
"178","40.06"
"179","40.12"
"180","40.16"
"181","40.21"
"182","40.22"
"183","40.24"
"184","41.03"
"185","41.08"
"186","41.13"
"187","41.16"
"188","41.22"
"189","41.26"
"190","41.27"
"191","41.31"
"192","41.42"
"193","41.51"
"194","41.52"
"195","42"
"196","42.03"
"197","42.16"
"198","42.22"
"199","42.23"
"200","42.24"
"201","42.26"
"202","42.37"
"203","43"
"204","43.16"
"205","43.26"
"206","43.28"
"207","43.31"
"208","43.32"
"209","43.56"
"210","44.03"
"211","44.16"
"212","44.18"
"213","44.27"
"214","44.37"
"215","45.03"
"216","45.12"
"217","45.16"
"218","45.23"
"219","46.03"
"220","46.41"
"221","47.03"
"222","47.04"
"223","47.13"
"224","47.19"
"225","47.21"
"226","47.28"
"227","47.37"
"228","47.42"
"229","47.46"
"230","47.51"
"231","47.52"
"232","47.53"
"233","47.57"
"234","48.03"
"235","48.04"
"236","48.07"
"237","48.08"
"238","48.16"
"239","48.21"
"240","48.24"
"241","48.26"
"242","48.37"
"243","48.41"
"244","48.46"
"245","48.52"
"246","48.57"
"247","49"
"248","49.03"
"249","49.04"
"250","49.05"
"251","49.12"
"252","49.18"
"253","49.23"
"254","49.29"
"255","49.38"
"256","49.41"
"257","49.46"
"258","50.25"
"259","50.54"
"260","51"
"261","51.01"
"262","51.03"
"263","51.04"
"264","51.08"
"265","51.13"
"266","51.19"
"267","51.26"
"268","51.37"
"269","52.01"
"270","52.06"
"271","52.08"
"272","52.12"
"273","52.22"
"274","52.27"
"275","53.02"
"276","53.03"
"277","53.12"
"278","53.14"
"279","53.21"
"280","53.23"
"281","53.43"
"282","54.03"
"283","54.18"
"284","54.21"
"285","55.03"
"286","55.13"
"287","55.16"
"288","55.18"
"289","55.23"
"290","55.29"
"291","55.35"
"292","55.37"
"293","55.44"
"294","56.03"
"295","56.06"
"296","56.13"
"297","56.21"
"298","56.23"
"299","56.27"
"300","56.42"
"301","56.52"
"302","56.57"
"303","57"
"304","57.03"
"305","57.06"
"306","57.12"
"307","57.16"
"308","57.18"
"309","58.55"
"310","59"
"311","59.01"
"312","59.02"
"313","59.03"
"314","59.04"
"315","59.08"
"316","59.13"
"317","59.16"
"318","59.27"
"319","59.37"
"320","60.01"
"321","60.06"
"322","60.08"
"323","60.23"
"324","60.25"
"325","60.44"
"326","60.52"
"327","60.56"
"328","61"
"329","61.03"
"330","61.12"
"331","61.51"
"332","61.54"
"333","61.56"
"334","62.01"
"335","62.03"
"336","62.05"
"337","62.07"
"338","62.14"
"339","62.27"
"340","62.28"
"341","62.34"
"342","62.37"
"343","62.39"
"344","62.41"
"345","62.42"
"346","62.49"
"347","62.51"
"348","62.52"
"349","62.56"
"350","62.59"
"351","63.05"
"352","63.12"
"353","63.19"
"354","63.21"
"355","63.23"
"356","63.28"
"357","63.32"
"358","63.35"
"359","63.42"
"360","63.43"
"361","63.45"
"362","63.51"
"363","63.52"
"364","63.56"
"365","64.03"
"366","64.04"
"367","64.05"
"368","64.12"
"369","64.19"
"370","64.24"
"371","64.26"
"372","64.27"
"373","64.39"
"374","64.41"
"375","64.44"
"376","64.45"
"377","65.01"
"378","65.03"
"379","65.07"
"380","65.14"
"381","65.15"
"382","65.16"
"383","65.19"
"384","65.21"
"385","65.25"
"386","65.31"
"387","65.37"
"388","65.38"
"389","65.43"
"390","65.45"
"391","65.47"
"392","66.01"
"393","66.02"
"394","66.03"
"395","66.05"
"396","66.16"
"397","66.17"
"398","66.18"
"399","66.19"
"400","66.21"
"401","66.22"
"402","66.29"
"403","66.32"
"404","66.38"
"405","66.43"
"406","66.56"
"407","67.03"
"408","67.04"
"409","67.06"
"410","67.16"
"411","67.24"
"412","67.26"
"413","67.29"
"414","67.33"
"415","67.35"
"416","67.41"
"417","67.45"
"418","67.51"
"419","67.59"
"420","68.26"
"421","70.18"
"422","70.29"
"423","70.34"
"424","70.38"
"425","70.39"
"426","70.42"
"427","70.47"
"428","70.59"
"429","71.03"
"430","71.04"
"431","71.12"
"432","71.17"
"433","71.21"
"434","71.29"
"435","71.37"
"436","71.38"
"437","71.39"
"438","71.41"
"439","71.44"
"440","71.57"
"441","72.03"
"442","72.04"
"443","72.05"
"444","72.16"
"445","72.19"
"446","72.23"
"447","72.26"
"448","72.27"
"449","72.32"
"450","72.43"
"451","72.45"
"452","72.52"
"453","72.58"
"454","73.04"
"455","73.16"
"456","73.25"
"457","73.28"
"458","73.31"
"459","73.37"
"460","73.51"
"461","74.03"
"462","74.04"
"463","74.18"
"464","74.21"
"465","74.29"
"466","74.37"
"467","74.38"
"468","74.41"
"469","74.42"
"470","74.54"
"471","74.57"
"472","75"
"473","75.03"
"474","75.04"
"475","75.13"
"476","75.19"
"477","75.21"
"478","75.23"
"479","75.26"
"480","75.32"
"481","75.35"
"482","75.43"
"483","75.45"
"484","75.56"
"485","75.58"
"486","75.59"
"487","76.01"
"488","76.02"
"489","76.05"
"490","76.13"
"491","76.14"
"492","76.16"
"493","76.19"
"494","76.26"
"495","76.29"
"496","76.33"
"497","76.34"
"498","76.35"
"499","76.37"
"500","76.49"
"501","76.51"
"502","76.59"
"503","77.01"
"504","77.02"
"505","77.04"
"506","77.13"
"507","77.14"
"508","77.24"
"509","77.34"
"510","77.37"
"511","77.43"
"512","77.47"
"513","78.03"
"514","78.04"
"515","78.05"
"516","78.07"
"517","78.14"
"518","78.15"
"519","78.16"
"520","78.17"
"521","78.18"
"522","78.24"
"523","78.25"
"524","78.26"
"525","78.27"
"526","78.28"
"527","78.35"
"528","78.44"
"529","78.47"
"530","78.51"
"531","78.52"
"532","78.58"
"533","78.59"
"534","79.07"
"535","79.16"
"536","79.19"
"537","79.22"
"538","79.26"
"539","79.27"
"540","79.31"
"541","79.41"
"542","79.42"
"543","79.45"
"544","79.46"
"545","79.51"
"546","79.52"
"547","80.25"
"548","80.31"
"549","80.37"
"550","80.48"
"551","80.51"
"552","80.54"
"553","81.13"
"554","81.16"
"555","81.19"
"556","81.21"
"557","81.25"
"558","81.27"
"559","81.28"
"560","81.45"
"561","81.53"
"562","81.54"
"563","81.58"
"564","82.17"
"565","82.19"
"566","82.31"
"567","82.35"
"568","82.51"
"569","82.57"
"570","82.59"
"571","84.16"
"572","84.19"
"573","84.23"
"574","84.28"
"575","84.51"
"576","84.56"
"577","84.57"
"578","85"
"579","85.03"
"580","85.05"
"581","85.13"
"582","85.14"
"583","85.15"
"584","85.23"
"585","85.29"
"586","85.32"
"587","85.35"
"588","85.44"
"589","85.48"
"590","85.49"
"591","85.58"
"592","86.18"
"593","86.25"
"594","86.54"
"595","87.03"
"596","87.04"
"597","87.17"
"598","87.18"
"599","87.21"
"600","87.22"
"601","87.29"
"602","87.37"
"603","87.38"
"604","87.39"
"605","87.41"
"606","87.54"
"607","87.57"
"608","88"
"609","88.03"
"610","88.04"
"611","88.05"
"612","88.12"
"613","88.16"
"614","88.23"
"615","88.26"
"616","88.32"
"617","88.35"
"618","88.37"
"619","88.43"
"620","88.56"
"621","88.58"
"622","89.03"
"623","89.05"
"624","89.15"
"625","89.16"
"626","89.18"
"627","89.19"
"628","89.24"
"629","89.26"
"630","89.28"
"631","89.31"
"632","89.32"
"633","89.37"
"634","89.42"
"635","89.43"
"636","89.44"
"637","89.45"
"638","89.46"
"639","89.51"
"640","89.52"
"641","89.57"
"642","89.59"
"643","90.01"
"644","90.03"
"645","90.05"
"646","90.07"
"647","90.14"
"648","90.15"
"649","90.16"
"650","90.17"
"651","90.21"
"652","90.24"
"653","90.26"
"654","90.29"
"655","90.33"
"656","90.35"
"657","90.38"
"658","90.39"
"659","90.43"
"660","90.44"
"661","90.46"
"662","90.47"
"663","90.48"
"664","90.49"
"665","90.51"
"666","90.52"
"667","90.59"
"668","91.01"
"669","91.03"
"670","91.04"
"671","91.05"
"672","91.12"
"673","91.14"
"674","91.16"
"675","91.17"
"676","91.19"
"677","91.21"
"678","91.27"
"679","91.29"
"680","91.35"
"681","91.37"
"682","91.38"
"683","91.39"
"684","91.41"
"685","91.43"
"686","91.44"
"687","91.45"
"688","91.46"
"689","91.47"
"690","91.49"
"691","91.51"
"692","91.52"
"693","91.58"
"694","92.17"
"695","92.42"
"696","92.46"
"697","93.03"
"698","93.06"
"699","93.19"
"700","93.29"
"701","93.38"
"702","93.44"
"703","93.49"
"704","93.57"
"705","94.04"
"706","94.19"
"707","94.32"
"708","94.37"
"709","94.54"
"710","94.57"
"711","95"
"712","95.01"
"713","95.08"
"714","95.19"
"715","95.23"
"716","95.25"
"717","95.28"
"718","95.44"
"719","95.45"
"720","95.59"
"721","96"
"722","96.03"
"723","96.05"
"724","96.07"
"725","96.08"
"726","96.13"
"727","96.16"
"728","96.18"
"729","96.19"
"730","96.23"
"731","96.37"
"732","96.42"
"733","96.51"
"734","96.53"
"735","96.56"
"736","96.58"
"737","97"
"738","97.01"
"739","97.02"
"740","97.03"
"741","97.05"
"742","97.07"
"743","97.08"
"744","97.12"
"745","97.18"
"746","97.21"
"747","97.22"
"748","97.27"
"749","97.29"
"750","97.37"
"751","97.42"
"752","97.43"
"753","97.46"
"754","97.53"
"755","97.56"
"756","97.57"
"757","97.59"
"758","98"
"759","98.01"
"760","98.03"
"761","98.06"
"762","98.07"
"763","98.08"
"764","98.15"
"765","98.16"
"766","98.19"
"767","98.22"
"768","98.23"
"769","98.24"
"770","98.26"
"771","98.27"
"772","98.28"
"773","98.29"
"774","98.32"
"775","98.35"
"776","98.37"
"777","98.38"
"778","98.43"
"779","98.44"
"780","98.47"
"781","98.52"
"782","98.53"
"783","98.56"
"784","98.57"
"785","98.59"
"786","99.02"
"787","99.03"
"788","99.05"
